command	flag	empty_exit	omitted_exit	set_exit	refused_by	vs_omitted	vs_set	seconds	gave_up	message
snapshot k8s	--namespaces-regex	1	1	1	cli	same	same	0.2		Error: [kosli snapshot k8s] could not build config from inside the cluster: unable to load in-cluster configuration, KUBERNETES_SERVICE_HOST and KUBERNETES_SERV
snapshot lambda	--aws-key-id	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--aws-region	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--aws-secret-key	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--dry-run	1	1	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
snapshot lambda	--exclude	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--exclude-regex	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--function-name	1	1	1	cli	differs	same	0.2		Flag --function-name has been deprecated, use --function-names instead
snapshot lambda	--function-names	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--function-names-regex	1	1	1	cli	same	same	0.2		Error: [kosli snapshot lambda] operation error Lambda: ListFunctions, get identity: get credentials: failed to refresh cached credentials, no EC2 IMDS role foun
snapshot lambda	--function-version	1	1	1	cli	differs	same	0.2		Flag --function-version has been deprecated, --function-version is no longer supported. It will be removed in a future release.
snapshot path	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
snapshot path	--exclude	0	0	0		same	same	0.2		[1] artifacts were reported to environment probe-snapshot-path-exclude-en
snapshot path	--name	1	1	0	cli	differs	differs	0.2		Error: [kosli snapshot path] flag '--name' is required, but empty string was provided
snapshot path	--path	1	1	0	cli	differs	differs	0.2		Error: [kosli snapshot path] flag '--path' is required, but empty string was provided
snapshot path	--watch	1	0	0	cli	differs	differs	0.2		Error: flag '--watch' was given an empty value
snapshot paths	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
snapshot paths	--paths-file	1	1	0	cli	differs	differs	0.2		Error: [kosli snapshot paths] flag '--paths-file' is required, but empty string was provided
snapshot paths	--watch	1	0	0	cli	differs	differs	0.2		Error: flag '--watch' was given an empty value
snapshot s3	--aws-key-id	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--aws-region	1	1	1	cli	same	differs	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--aws-secret-key	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--bucket	1	1	1	cli	differs	differs	0.2		Error: [kosli snapshot s3] flag '--bucket' is required, but empty string was provided
snapshot s3	--dry-run	1	1	0	cli	differs	differs	0.4		Error: flag '--dry-run' was given an empty value
snapshot s3	--exclude	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--exclude-regex	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--include	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot s3	--include-regex	1	1	1	cli	same	same	0.2		Error: [kosli snapshot s3] operation error S3: ListObjectsV2, resolve auth scheme: resolve endpoint: endpoint rule error, Invalid region: region was not a valid
snapshot server	--dry-run	1	0	0	cli	differs	differs	0.8		Error: flag '--dry-run' was given an empty value
snapshot server	--e	0	0	0		differs	same	0.9		Flag --e has been deprecated, use -x instead
snapshot server	--exclude	0	0	0		same	same	0.9		[1] artifacts were reported to environment probe-snapshot-server-exclude-en
snapshot server	--paths	1	1	0	cli	same	differs	0.4		Error: [kosli snapshot server] required flag "paths" not set
status	--assert	1	0	0	cli	differs	differs	0.1		Error: flag '--assert' was given an empty value
tag	--dry-run	1	0	0	cli	differs	differs	0.1		Error: flag '--dry-run' was given an empty value
tag	--provider	0	0	1		same	differs	0.1		No tags were applied for flow 'probe-tag-provider-fl'
tag	--repo-id	0	0	1		same	differs	0.2		No tags were applied for flow 'probe-tag-repo-id-fl'
tag	--set	1	0	1	cli	differs	differs	0.1		Error: [kosli tag] invalid argument "" for "-s, --set" flag:  must be formatted as key=value
tag	--unset	0	0	0		same	differs	0.1		No tags were applied for flow 'probe-tag-unset-fl'
unarchive control	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
update control	--description	0	0	0		same	differs	0.2		control probe-update-control-description-co was updated
update control	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
update control	--link	1	0	1	cli	differs	differs	0.3		Error: [kosli update control] invalid argument "" for "--link" flag:  must be formatted as key=value
update control	--name	1	1	0	downstream	differs	differs	0.2		Error: [kosli update control] name cannot be empty
update default-org	--dry-run	1	0	0	cli	differs	differs	0.1		Error: flag '--dry-run' was given an empty value
update service-account	--description	0	1	0		differs	differs	0.3		service account probe-update-service-account-description-sa was updated
update service-account	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
update service-account	--privilege	1	0	0	downstream	differs	differs	0.3		Error: [kosli update service-account] Input payload validation failed: map[privilege:Input should be <Role.ADMIN: 'admin'>, <Role.MEMBER: 'member'>, <Role.SNAPS
version	--short	1	0	0	cli	differs	differs	0.1		Error: flag '--short' was given an empty value
