command	flag	method	url	field	control	emptied	verdict	answer
attest custom	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-description-set-fl/trail/probe-attest-custom-description-set-tr/custom	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--dry-run						nothing to read	the run with the flag set sent no request
attest custom	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-exclude-set-fl/trail/probe-attest-custom-exclude-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest custom	--external-url						nothing to read	the run with the flag set sent no request
attest custom	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-fingerprint-set-fl/trail/probe-attest-custom-fingerprint-set-tr/custom	artifact_fingerprint	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-flow-set-fl/trail/probe-attest-custom-flow-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--name	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-name-set-fl/trail/probe-attest-custom-name-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--origin-url	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-origin-url-set-fl/trail/probe-attest-custom-origin-url-set-tr/custom	origin_url	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest custom	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest custom	--registry-password						nothing to read	the run with the flag set sent no request
attest custom	--registry-provider	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-registry-provider-set-fl/trail/probe-attest-custom-registry-provider-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--registry-username						nothing to read	the run with the flag set sent no request
attest custom	--repo-id	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-repo-id-set-fl/trail/probe-attest-custom-repo-id-set-tr/custom				no field	the flag changes no field of the payload
attest custom	--repo-provider						nothing to read	the run with the flag set sent no request
attest custom	--repo-root	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-custom-repo-root-set-fl/trail/probe-attest-custom-repo-root-set-tr/custom				no field	the flag changes no field of the payload
