command	flag	method	url	field	control	emptied	verdict	answer
begin trail	--repository	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-repository-set-fl				no field	the flag changes no field of the payload
begin trail	--template-file	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-template-file-set-fl				no field	the flag changes no field of the payload
begin trail	--user-data	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-user-data-set-fl	user_data	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
config	--set						nothing to read	the run with the flag set sent no request
config	--unset						nothing to read	the run with the flag set sent no request
create api-key	--description	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-create-api-key-description-set-sa/api-keys				no field	the flag changes no field of the payload
create api-key	--dry-run						nothing to read	the run with the flag set sent no request
create api-key	--expires-at						nothing to read	the run with the flag set sent no request
create api-key	--output	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-create-api-key-output-set-sa/api-keys				no field	the flag changes no field of the payload
create api-key	--service-account	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-create-api-key-service-account-set-sa/api-keys				no field	the flag changes no field of the payload
create attestation-type	--description	POST	http://localhost:8001/api/v2/custom-attestation-types/docs-cmd-test-user-shared	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
create attestation-type	--dry-run						nothing to read	the run with the flag set sent no request
create attestation-type	--jq	POST	http://localhost:8001/api/v2/custom-attestation-types/docs-cmd-test-user-shared	evaluator	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
create attestation-type	--schema						nothing to read	the run with the flag set sent no request
create control	--description	POST	http://localhost:8001/api/v2/controls/docs-cmd-test-user-shared	description	409	409	unusable, the control failed	{"message":"A control with identifier 'probe-create-control-description-set-co' already exists in organization 'docs-cmd
create control	--dry-run						nothing to read	the run with the flag set sent no request
create control	--name	POST	http://localhost:8001/api/v2/controls/docs-cmd-test-user-shared				no field	the flag changes no field of the payload
create environment	--description	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared	description	201	201	the server accepts it	"OK"
create environment	--dry-run						nothing to read	the run with the flag set sent no request
create environment	--exclude-scaling	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared	include_scaling	201	400	the server refuses it	{"message":"Input payload validation failed","errors":{"include_scaling":"Input should be a valid boolean, unable to int
create environment	--include-scaling	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared	include_scaling	201	400	the server refuses it	{"message":"Input payload validation failed","errors":{"include_scaling":"Input should be a valid boolean, unable to int
create environment	--included-environments	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared	included_environments	404	404	unusable, the control failed	{"message":"Environment named '' does not exist for organization 'docs-cmd-test-user-shared'"}
create environment	--require-provenance	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared	require_provenance	201	400	the server refuses it	{"message":"Input payload validation failed","errors":{"require_provenance":"Input should be a valid boolean, unable to
create environment	--type	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared				no field	the flag changes no field of the payload
create flow	--description	PUT	http://localhost:8001/api/v2/flows/docs-cmd-test-user-shared	description	201	201	the server accepts it	"OK"
create flow	--dry-run						nothing to read	the run with the flag set sent no request
create flow	--template	PUT	http://localhost:8001/api/v2/flows/docs-cmd-test-user-shared	template	201	201	the server accepts it	"OK"
create flow	--template-file	PUT	http://localhost:8001/api/v2/flows/docs-cmd-test-user-shared/template_file	template	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
create flow	--use-empty-template	PUT	http://localhost:8001/api/v2/flows/docs-cmd-test-user-shared/template_file	template	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
create flow	--visibility	PUT	http://localhost:8001/api/v2/flows/docs-cmd-test-user-shared	visibility	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"visibility":"Input should be 'public' or 'private' [input: ]"}}
create policy	--comment	PUT	http://localhost:8001/api/v2/policies/docs-cmd-test-user-shared	comment	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"payload":"Field required [input: None]"}}
create policy	--description	PUT	http://localhost:8001/api/v2/policies/docs-cmd-test-user-shared	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"payload":"Field required [input: None]"}}
create policy	--dry-run						nothing to read	the run with the flag set sent no request
create policy	--type	PUT	http://localhost:8001/api/v2/policies/docs-cmd-test-user-shared				no field	the flag changes no field of the payload
create service-account	--description	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared	description	201	201	the server accepts it	{"name":"replay-e19b9fc0","display_name":"replay-e19b9fc0","privilege":"reader","creating_user_id":"858ac60e-cdf4-4cd5-9
create service-account	--dry-run						nothing to read	the run with the flag set sent no request
create service-account	--privilege	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared				no field	the flag changes no field of the payload
delete api-key	--assume-yes						nothing to read	the run with the flag set sent no request
delete api-key	--dry-run						nothing to read	the run with the flag set sent no request
delete api-key	--service-account						nothing to read	the run with the flag set sent no request
delete api-key	--yes						nothing to read	the run with the flag set sent no request
delete service-account	--assume-yes						nothing to read	the run with the flag set sent no request
delete service-account	--dry-run						nothing to read	the run with the flag set sent no request
delete service-account	--yes						nothing to read	the run with the flag set sent no request
detach-policy	--dry-run						nothing to read	the run with the flag set sent no request
detach-policy	--environment	DELETE	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-detach-policy-environment-set-en/policies				no field	the flag changes no field of the payload
diff snapshots	--output						nothing to read	the run with the flag set sent no request
diff snapshots	--show-unchanged						nothing to read	the run with the flag set sent no request
evaluate input	--assert						nothing to read	the run with the flag set sent no request
evaluate input	--attestations						nothing to read	the run with the flag set sent no request
evaluate input	--flow						nothing to read	the run with the flag set sent no request
evaluate input	--input-file						nothing to read	the run with the flag set sent no request
evaluate input	--no-assert						nothing to read	the run with the flag set sent no request
evaluate input	--output						nothing to read	the run with the flag set sent no request
evaluate input	--params						nothing to read	the run with the flag set sent no request
evaluate input	--policy						nothing to read	the run with the flag set sent no request
evaluate input	--show-input						nothing to read	the run with the flag set sent no request
evaluate trail	--assert						nothing to read	the run with the flag set sent no request
evaluate trail	--attestations						nothing to read	the run with the flag set sent no request
evaluate trail	--flow						nothing to read	the run with the flag set sent no request
evaluate trail	--no-assert						nothing to read	the run with the flag set sent no request
evaluate trail	--output						nothing to read	the run with the flag set sent no request
evaluate trail	--params						nothing to read	the run with the flag set sent no request
evaluate trail	--policy						nothing to read	the run with the flag set sent no request
evaluate trail	--show-input						nothing to read	the run with the flag set sent no request
evaluate trails	--assert						nothing to read	the run with the flag set sent no request
evaluate trails	--attestations						nothing to read	the run with the flag set sent no request
evaluate trails	--flow						nothing to read	the run with the flag set sent no request
evaluate trails	--no-assert						nothing to read	the run with the flag set sent no request
evaluate trails	--output						nothing to read	the run with the flag set sent no request
evaluate trails	--params						nothing to read	the run with the flag set sent no request
evaluate trails	--policy						nothing to read	the run with the flag set sent no request
evaluate trails	--show-input						nothing to read	the run with the flag set sent no request
fingerprint	--artifact-type						nothing to read	the run with the flag set sent no request
fingerprint	--e						nothing to read	the run with the flag set sent no request
fingerprint	--exclude						nothing to read	the run with the flag set sent no request
fingerprint	--registry-password						nothing to read	the run with the flag set sent no request
fingerprint	--registry-provider						nothing to read	the run with the flag set sent no request
fingerprint	--registry-username						nothing to read	the run with the flag set sent no request
get api-key	--output						nothing to read	the run with the flag set sent no request
get api-key	--service-account						nothing to read	the run with the flag set sent no request
get artifact	--output						nothing to read	the run with the flag set sent no request
get artifact	--trail						nothing to read	the run with the flag set sent no request
get attestation	--attestation-id						nothing to read	the run with the flag set sent no request
get attestation	--fingerprint						nothing to read	the run with the flag set sent no request
get attestation	--flow						nothing to read	the run with the flag set sent no request
get attestation	--output						nothing to read	the run with the flag set sent no request
get attestation	--trail						nothing to read	the run with the flag set sent no request
get attestation-type	--output						nothing to read	the run with the flag set sent no request
get control	--output						nothing to read	the run with the flag set sent no request
get default-org	--output						nothing to read	the run with the flag set sent no request
get environment	--output						nothing to read	the run with the flag set sent no request
get flow	--output						nothing to read	the run with the flag set sent no request
get policy	--output						nothing to read	the run with the flag set sent no request
get service-account	--output						nothing to read	the run with the flag set sent no request
get snapshot	--output						nothing to read	the run with the flag set sent no request
get trail	--flow						nothing to read	the run with the flag set sent no request
get trail	--output						nothing to read	the run with the flag set sent no request
join environment	--dry-run						nothing to read	the run with the flag set sent no request
join environment	--logical	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-join-environment-logical-set-lg/join				no field	the flag changes no field of the payload
join environment	--physical	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-join-environment-physical-set-lg/join				no field	the flag changes no field of the payload
list api-keys	--output						nothing to read	the run with the flag set sent no request
list api-keys	--service-account						nothing to read	the run with the flag set sent no request
list artifacts	--flow						nothing to read	the run with the flag set sent no request
list artifacts	--output						nothing to read	the run with the flag set sent no request
list artifacts	--page						nothing to read	the run with the flag set sent no request
list artifacts	--page-limit						nothing to read	the run with the flag set sent no request
list artifacts	--repo						nothing to read	the run with the flag set sent no request
list attestation-types	--output						nothing to read	the run with the flag set sent no request
list controls	--archived						nothing to read	the run with the flag set sent no request
list controls	--output						nothing to read	the run with the flag set sent no request
list controls	--page						nothing to read	the run with the flag set sent no request
list controls	--page-limit						nothing to read	the run with the flag set sent no request
list controls	--search						nothing to read	the run with the flag set sent no request
list controls	--sort-direction						nothing to read	the run with the flag set sent no request
list controls	--tag						nothing to read	the run with the flag set sent no request
list environments	--name						nothing to read	the run with the flag set sent no request
list environments	--output						nothing to read	the run with the flag set sent no request
list environments	--page						nothing to read	the run with the flag set sent no request
list environments	--page-limit						nothing to read	the run with the flag set sent no request
list environments	--sort						nothing to read	the run with the flag set sent no request
list environments	--sort-direction						nothing to read	the run with the flag set sent no request
list environments	--space-id						nothing to read	the run with the flag set sent no request
list environments	--tag						nothing to read	the run with the flag set sent no request
list environments	--type						nothing to read	the run with the flag set sent no request
list flows	--ignore-case						nothing to read	the run with the flag set sent no request
list flows	--name						nothing to read	the run with the flag set sent no request
list flows	--output						nothing to read	the run with the flag set sent no request
list flows	--page						nothing to read	the run with the flag set sent no request
list flows	--page-limit						nothing to read	the run with the flag set sent no request
list policies	--output						nothing to read	the run with the flag set sent no request
list repos	--name						nothing to read	the run with the flag set sent no request
list repos	--output						nothing to read	the run with the flag set sent no request
list repos	--page						nothing to read	the run with the flag set sent no request
list repos	--page-limit						nothing to read	the run with the flag set sent no request
list repos	--provider						nothing to read	the run with the flag set sent no request
list repos	--repo-id						nothing to read	the run with the flag set sent no request
list repos	--search						nothing to read	the run with the flag set sent no request
list repos	--sort-direction						nothing to read	the run with the flag set sent no request
list repos	--tag						nothing to read	the run with the flag set sent no request
list service-accounts	--output						nothing to read	the run with the flag set sent no request
list snapshots	--interval						nothing to read	the run with the flag set sent no request
list snapshots	--output						nothing to read	the run with the flag set sent no request
list snapshots	--page						nothing to read	the run with the flag set sent no request
list snapshots	--page-limit						nothing to read	the run with the flag set sent no request
list snapshots	--reverse						nothing to read	the run with the flag set sent no request
list trails	--fingerprint						nothing to read	the run with the flag set sent no request
list trails	--flow						nothing to read	the run with the flag set sent no request
list trails	--flow-tag						nothing to read	the run with the flag set sent no request
list trails	--output						nothing to read	the run with the flag set sent no request
list trails	--page						nothing to read	the run with the flag set sent no request
list trails	--page-limit						nothing to read	the run with the flag set sent no request
log environment	--end						nothing to read	the run with the flag set sent no request
log environment	--end-ts						nothing to read	the run with the flag set sent no request
log environment	--interval						nothing to read	the run with the flag set sent no request
log environment	--output						nothing to read	the run with the flag set sent no request
log environment	--page						nothing to read	the run with the flag set sent no request
log environment	--page-limit						nothing to read	the run with the flag set sent no request
log environment	--repo						nothing to read	the run with the flag set sent no request
log environment	--reverse						nothing to read	the run with the flag set sent no request
log environment	--start						nothing to read	the run with the flag set sent no request
log environment	--start-ts						nothing to read	the run with the flag set sent no request
rename environment	--dry-run						nothing to read	the run with the flag set sent no request
rename flow	--dry-run						nothing to read	the run with the flag set sent no request
report artifact	--artifact-type	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-artifact-type-set-fl	filename	201	201	the server accepts it	{"message":"OK"}
report artifact	--build-url	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-build-url-set-fl				no field	the flag changes no field of the payload
report artifact	--commit-url	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-commit-url-set-fl				no field	the flag changes no field of the payload
report artifact	--dry-run						nothing to read	the run with the flag set sent no request
report artifact	--exclude	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-exclude-set-fl				no field	the flag changes no field of the payload
report artifact	--fingerprint	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-fingerprint-set-fl				no field	the flag changes no field of the payload
report artifact	--flow	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-flow-set-fl				no field	the flag changes no field of the payload
report artifact	--git-commit	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-git-commit-set-fl				no field	the flag changes no field of the payload
report artifact	--name	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-name-set-fl	filename	201	201	the server accepts it	{"message":"OK"}
report artifact	--registry-password						nothing to read	the run with the flag set sent no request
report artifact	--registry-provider	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-registry-provider-set-fl				no field	the flag changes no field of the payload
report artifact	--registry-username						nothing to read	the run with the flag set sent no request
report artifact	--repo-root	POST	http://localhost:8001/api/v2/artifacts/docs-cmd-test-user-shared/probe-report-artifact-repo-root-set-fl				no field	the flag changes no field of the payload
rotate api-key	--dry-run						nothing to read	the run with the flag set sent no request
rotate api-key	--expires-at						nothing to read	the run with the flag set sent no request
rotate api-key	--grace-period-hours						nothing to read	the run with the flag set sent no request
rotate api-key	--output	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-rotate-api-key-output-set-sa/api-keys/b4b21216-5798-46a1-bba4-f941a3e4/rotate				no field	the flag changes no field of the payload
rotate api-key	--service-account	POST	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-rotate-api-key-service-account-set-sa/api-keys/89d80c71-59d4-423b-859f-8b6c4744/rotate				no field	the flag changes no field of the payload
search	--output						nothing to read	the run with the flag set sent no request
snapshot docker	--dry-run						nothing to read	the run with the flag set sent no request
snapshot path	--dry-run						nothing to read	the run with the flag set sent no request
snapshot path	--exclude	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-path-exclude-set-en/report/server	artifacts	200	400	the server refuses it	{"message":"Input payload validation failed","errors":{"artifacts[0]":"Input should be a valid dictionary or object to e
snapshot path	--name	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-path-name-set-en/report/server				no field	the flag changes no field of the payload
snapshot path	--path	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-path-path-set-en/report/server				no field	the flag changes no field of the payload
snapshot path	--watch	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-path-watch-set-en/report/server	artifacts	200	400	the server refuses it	{"message":"Input payload validation failed","errors":{"artifacts[0]":"Input should be a valid dictionary or object to e
snapshot paths	--dry-run						nothing to read	the run with the flag set sent no request
snapshot paths	--paths-file	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-paths-paths-file-set-en/report/server				no field	the flag changes no field of the payload
snapshot paths	--watch	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-paths-watch-set-en/report/server				no field	the flag changes no field of the payload
snapshot server	--dry-run						nothing to read	the run with the flag set sent no request
snapshot server	--e	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-server-e-set-en/report/server				no field	the flag changes no field of the payload
snapshot server	--exclude	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-server-exclude-set-en/report/server				no field	the flag changes no field of the payload
snapshot server	--paths	PUT	http://localhost:8001/api/v2/environments/docs-cmd-test-user-shared/probe-snapshot-server-paths-set-en/report/server				no field	the flag changes no field of the payload
status	--assert						nothing to read	the run with the flag set sent no request
tag	--dry-run						nothing to read	the run with the flag set sent no request
tag	--provider						nothing to read	the run with the flag set sent no request
tag	--repo-id						nothing to read	the run with the flag set sent no request
tag	--set						nothing to read	the run with the flag set sent no request
tag	--unset	PATCH	http://localhost:8001/api/v2/tags/docs-cmd-test-user-shared/flow/probe-tag-unset-set-fl	remove_tags	200	200	the server accepts it	"OK"
unarchive control	--dry-run						nothing to read	the run with the flag set sent no request
update control	--description	PUT	http://localhost:8001/api/v2/controls/docs-cmd-test-user-shared/probe-update-control-description-set-co	description	200	200	the server accepts it	{"identifier":"probe-update-control-description-set-co","name":"replay-0a53320e","version":4,"created_at":1786786188.646
update control	--dry-run						nothing to read	the run with the flag set sent no request
update control	--link						nothing to read	the run with the flag set sent no request
update control	--name	PUT	http://localhost:8001/api/v2/controls/docs-cmd-test-user-shared/probe-update-control-name-set-co				no field	the flag changes no field of the payload
update default-org	--dry-run						nothing to read	the run with the flag set sent no request
update service-account	--description	PATCH	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-update-service-account-description-set-sa				no field	the flag changes no field of the payload
update service-account	--dry-run						nothing to read	the run with the flag set sent no request
update service-account	--privilege	PATCH	http://localhost:8001/api/v2/service-accounts/docs-cmd-test-user-shared/probe-update-service-account-privilege-set-sa	privilege	200	400	the server refuses it	{"message":"Input payload validation failed","errors":{"privilege":"Input should be <Role.ADMIN: 'admin'>, <Role.MEMBER:
version	--short						nothing to read	the run with the flag set sent no request
